,時間戳記,照片 Picture,品牌 Brand,衣服長度 Clothes Length,服裝部位 Clothing Part,上半身 衣服種類 Top Clothing Type,下半身衣服種類 Bottom Clothing Type,價格 Price
473,2024/10/23 下午 8:27:19,https://drive.google.com/open?id=1ygAn9-NLppViq6xV9cvoDOXW6pIPKiJE,Net,長 long,下半身 Bottom,,牛仔褲/裙 jeans / demi skirt,599
474,2024/10/23 下午 8:27:29,https://drive.google.com/open?id=1dqxCVAAlwxG0Uhy1_OhhByFacIq2unuY,H&M,短 short,上半身 Top,背心 Vest,,449
475,2024/10/23 下午 8:28:03,https://drive.google.com/open?id=1QtxnVKBgbp1AfAgwS87s6WnqX-xWAd01,Net,長 long,下半身 Bottom,,緊身褲 leggings,249
476,2024/10/23 下午 8:28:20,https://drive.google.com/open?id=1hdstfHXqETtEx70FLM_fxmFKQqikVTX3,H&M,長 long,下半身 Bottom,,休閒褲/裙 casual pants/skirt,349
477,2024/10/23 下午 8:28:44,https://drive.google.com/open?id=1ZG-MO1yYasw616ay0N_qameZS9qKJ2jD,Net,短 short,下半身 Bottom,,休閒褲/裙 casual pants/skirt,329
478,2024/10/23 下午 8:29:16,https://drive.google.com/open?id=1xvgYIGwg_HzjHWDxkPL_mFsPyFqREhha,Net,短 short,下半身 Bottom,,休閒褲/裙 casual pants/skirt,299
479,2024/10/23 下午 8:29:17,https://drive.google.com/open?id=16YrVuFEnmxmIWWHCm-9wK5UzL0zrjtex,H&M,短 short,上半身 Top,Shirt,,499
480,2024/10/23 下午 8:29:53,https://drive.google.com/open?id=1UG3W2W2tDXlKOSWaLGRs1hQlcy-Snj_7,Net,長 long,下半身 Bottom,,休閒褲/裙 casual pants/skirt,479
481,2024/10/23 下午 8:29:57,https://drive.google.com/open?id=1CMtHtGp0ZXsrjZ5kfT3b_Ne50ragwa3Q,H&M,長 long,下半身 Bottom,,百褶裙 pleated skirt,1799
482,2024/10/23 下午 8:30:28,https://drive.google.com/open?id=1f6FDxBLYB1QdbHrgbjRuUUFB4Cf61B3t,Net,短 short,下半身 Bottom,,休閒褲/裙 casual pants/skirt,299
483,2024/10/23 下午 8:31:07,https://drive.google.com/open?id=1b2NvWxkqs7JfB6yB5L8YAgCieYyRlcE3,Net,長 long,下半身 Bottom,,工裝褲/裙 cargo pants/skirt,599
484,2024/10/23 下午 8:31:41,https://drive.google.com/open?id=1I7l0OGIdOxXuaQYhaY-TSxCfmtIfv_3j,Net,長 long,下半身 Bottom,,"牛仔褲/裙 jeans / demi skirt, 工裝褲/裙 cargo pants/skirt",659
485,2024/10/23 下午 8:31:57,https://drive.google.com/open?id=1Mo8stP_r5l0Csgs_hviRLPJMRXjhB2w1,H&M,短 short,下半身 Bottom,,百褶裙 pleated skirt,899
486,2024/10/23 下午 8:32:19,https://drive.google.com/open?id=1iDQ1xE0774SO1AfFS9q32HBulzDrh2V3,Net,長 long,下半身 Bottom,,休閒褲/裙 casual pants/skirt,429
487,2024/10/23 下午 8:32:43,https://drive.google.com/open?id=1hyUIryP_hCqqHkdkoufacughNHWLyBih,H&M,短 short,洋裝 Dress,,,1799
488,2024/10/23 下午 8:33:58,https://drive.google.com/open?id=1w3RQPseOdCvva45Sglme8BKBlCaIc9gA,Net,長 long,下半身 Bottom,,休閒褲/裙 casual pants/skirt,579
489,2024/10/23 下午 8:34:28,https://drive.google.com/open?id=1_rGX_PoNYN75Q1Z8IHmS66zKv5xKkw4e,H&M,長 long,下半身 Bottom,,西裝褲、裙 dress pants、skirt,799
490,2024/10/23 下午 8:34:30,https://drive.google.com/open?id=10jUrcX-AKk1gsF_1-HCy2geVDN7T4xeW,Net,短 short,下半身 Bottom,,休閒褲/裙 casual pants/skirt,459
491,2024/10/23 下午 8:35:01,https://drive.google.com/open?id=1_Ts11qtEGHLG17fELMXet8UnGt85nPCh,Net,長 long,下半身 Bottom,,"運動褲/裙 sweat pants / sports skirt, 休閒褲/裙 casual pants/skirt",299
492,2024/10/23 下午 8:35:20,https://drive.google.com/open?id=1SVSWFfvN4lush-s3qPxjn8KcotkS8FLP,H&M,短 short,上半身 Top,背心 Vest,,549
493,2024/10/23 下午 8:35:34,https://drive.google.com/open?id=109ZfXhrr69_8gx6jH7Pp_Br7tXXCjMsE,Net,長 long,下半身 Bottom,,休閒褲/裙 casual pants/skirt,459
494,2024/10/23 下午 8:36:14,https://drive.google.com/open?id=1s7dJdDgBR8HuhOxPHn4s0Uwwd4DNxyKV,Net,長 long,下半身 Bottom,,牛仔褲/裙 jeans / demi skirt,599
495,2024/10/23 下午 8:36:20,https://drive.google.com/open?id=1UP68aseBy2PZ3pLLYEfP42oQK0MuXDM2,H&M,長 long,下半身 Bottom,,西裝褲、裙 dress pants、skirt,999
496,2024/10/23 下午 8:36:47,https://drive.google.com/open?id=1PksB8nLm5QG-QuZqKJZAWmRfh1BsX6xh,Net,長 long,下半身 Bottom,,緊身褲 leggings,339
497,2024/10/23 下午 8:37:09,https://drive.google.com/open?id=19r61EEUYDUaBb3FTjtXub_RDZSAX7CG7,H&M,長 long,上半身 Top,"外套 Jacket, 西裝 Suit",,1299
498,2024/10/23 下午 8:37:19,https://drive.google.com/open?id=1u7y9cq5HIl0bfRuZnD_DoWbyLFt8LmR-,Net,長 long,下半身 Bottom,,休閒褲/裙 casual pants/skirt,359
499,2024/10/23 下午 8:37:49,https://drive.google.com/open?id=13s9Fyj1tgULIBLQXp13KNP6faAcw3eFB,Net,長 long,下半身 Bottom,,"牛仔褲/裙 jeans / demi skirt, 工裝褲/裙 cargo pants/skirt",659
500,2024/10/23 下午 8:37:52,https://drive.google.com/open?id=1l9WQroMFDjIuDuDnpEhIWb9O6wmaD1TW,H&M,長 long,上半身 Top,西裝 Suit,,1499
501,2024/10/23 下午 8:38:31,https://drive.google.com/open?id=1LtkUuYHT4BX6Iiq_7dPOxGoGluW18pPJ,Net,長 long,下半身 Bottom,,休閒褲/裙 casual pants/skirt,559
502,2024/10/23 下午 8:38:33,https://drive.google.com/open?id=1pAhG9zjPSpGYCUMgMr_iH__NJR2fcizM,H&M,長 long,上半身 Top,Shirt,,549
503,2024/10/23 下午 8:39:05,https://drive.google.com/open?id=1bZwyQmehQIwkShI_Nqa4jhBj6Cr-p3bm,Net,長 long,下半身 Bottom,,休閒褲/裙 casual pants/skirt,299
504,2024/10/23 下午 8:39:11,https://drive.google.com/open?id=1_-y54J-7-arC5J8KvG0MA2EQN_Bf0sbL,H&M,短 short,上半身 Top,Shirt,,799
505,2024/10/23 下午 8:39:37,https://drive.google.com/open?id=1tCBbtRpNw_ajj-jA6X2IyF-Qdf5Ey0wz,Net,長 long,下半身 Bottom,,休閒褲/裙 casual pants/skirt,399
506,2024/10/23 下午 8:40:09,https://drive.google.com/open?id=1LKZcucbIkjkS4ERK8EJOgtRTgbbcOKsm,Net,長 long,下半身 Bottom,,"牛仔褲/裙 jeans / demi skirt, 休閒褲/裙 casual pants/skirt",559
507,2024/10/23 下午 8:40:12,https://drive.google.com/open?id=1rRTnCeDKsGrVAqCX4ZJgDB-XqoC_nc1F,H&M,長 long,上半身 Top,Shirt,,1299
508,2024/10/23 下午 8:49:30,https://drive.google.com/open?id=1kqKceCZU5Wl_UOH2AoSfhOtQsTqPoFdR,H&M,短 short,上半身 Top,針/織衣 Sweater,,699
509,2024/10/23 下午 8:52:39,https://drive.google.com/open?id=1kjNaTkVG0OEv76Te_urQxP1AATBPhgBf,H&M,短 short,洋裝 Dress,,,1299
510,2024/10/23 下午 8:53:12,https://drive.google.com/open?id=1K7V8-wECer54S4D7oFGS-RFW6Iv3sAIL,H&M,短 short,洋裝 Dress,,,649
511,2024/10/23 下午 8:58:18,https://drive.google.com/open?id=1PzItjB96PLgfKseMl_Vzr15O5uAQvZE3,H&M,長 long,下半身 Bottom,,西裝褲、裙 dress pants、skirt,699
512,2024/10/23 下午 8:58:57,https://drive.google.com/open?id=1KNpeZVv-J2XbIJZgz0MPJYPoJlnrVFE5,H&M,長 long,下半身 Bottom,,西裝褲、裙 dress pants、skirt,499
513,2024/10/23 下午 8:59:33,https://drive.google.com/open?id=131wQd5nvoBn_CP_0TbhqxbwKCk1JEoVK,H&M,長 long,上半身 Top,Shirt,,699
514,2024/10/23 下午 9:00:14,https://drive.google.com/open?id=1MOe2Uvk1l4H2W1i6TZUJxwf2kcFucSQk,H&M,短 short,上半身 Top,T-Shirt,,499
515,2024/10/23 下午 9:01:49,https://drive.google.com/open?id=1yWMso2GgWYe3cotLkexWlApvl6ovxxRK,H&M,短 short,上半身 Top,T-Shirt,,499
516,2024/10/23 下午 9:03:35,https://drive.google.com/open?id=1HqTPmFS3J3W7Svh102MHF31W-4lGqbsD,H&M,短 short,上半身 Top,T-Shirt,,499
517,2024/10/23 下午 9:04:27,https://drive.google.com/open?id=1qqi2EaGdeTAKo58fo6ZrQZkwwlUOFx2i,H&M,短 short,上半身 Top,T-Shirt,,499
518,2024/10/23 下午 9:05:27,https://drive.google.com/open?id=1lTCdW3nsDrARGBhud9GDOKBXtwkmWW09,H&M,短 short,上半身 Top,Shirt,,349
519,2024/10/23 下午 9:06:05,https://drive.google.com/open?id=18hhZIdffowyKRfuV5lTh93sVwVWXtBz6,H&M,長 long,上半身 Top,毛衣、針織衣 Sweater,,599
520,2024/10/23 下午 9:06:42,https://drive.google.com/open?id=1H_rgW8B6HWrjqJexGa5_V7A3MeOa0GSu,H&M,長 long,上半身 Top,毛衣、針織衣 Sweater,,349
521,2024/10/23 下午 9:07:26,https://drive.google.com/open?id=1dkzFD1cQvmLn50mdJvx6ch21Bxe3OVB7,H&M,短 short,下半身 Bottom,,牛仔褲/裙 jeans / demi skirt,599
522,2024/10/23 下午 9:08:02,https://drive.google.com/open?id=1p5MOf6pJvb7LbYlVtV88-ysP1Q6i6Nor,H&M,長 long,下半身 Bottom,,百褶裙 pleated skirt,1299
523,2024/10/23 下午 9:08:41,https://drive.google.com/open?id=14Pqg6ja5B-13K8eIT35DKu427jXF0oq0,H&M,短 short,上半身 Top,Shirt,,349
524,2024/10/23 下午 9:09:12,https://drive.google.com/open?id=1_BkHnTkk14OIJA1NvtKiKo6GDVu0HXxk,H&M,長 long,上半身 Top,毛衣、針織衣 Sweater,,999
525,2024/10/23 下午 9:09:47,https://drive.google.com/open?id=1lg2Y8Jq2qNvPB1nrPasprQBJF_UXIL8H,H&M,短 short,下半身 Bottom,,西裝褲、裙 dress pants、skirt,699
526,2024/10/23 下午 9:10:23,https://drive.google.com/open?id=1UBjSJlAG1FsdZajg_FG0ycoaszS1QlQy,H&M,短 short,下半身 Bottom,,西裝褲、裙 dress pants、skirt,899
527,2024/10/23 下午 9:21:51,https://drive.google.com/open?id=12DFV670S_CJqhtCPw0CuEqpmDdiVeGNF,H&M,長 long,上半身 Top,Shirt,,699
528,2024/10/23 下午 9:23:04,https://drive.google.com/open?id=177ww-KJMEg6keJOx44GpNcPBUOpwPP37,H&M,長 long,下半身 Bottom,,工裝褲/裙 cargo pants/skirt,699
529,2024/10/23 下午 9:24:18,https://drive.google.com/open?id=1Vma4sUtHcnG17oZ7SCIsjh9t9VPUsDFc,H&M,短 short,上半身 Top,T-Shirt,,349
530,2024/10/23 下午 9:25:19,https://drive.google.com/open?id=1GAOMS2FJEaL-Xt1u0WGr_Gkw_AXyRgqM,H&M,短 short,上半身 Top,毛衣、針織衣 Sweater,,699
531,2024/10/23 下午 9:26:01,https://drive.google.com/open?id=1UQRRIQ__oqxhPX39dBalBL9sqy-mGGoG,H&M,短 short,洋裝 Dress,,,999
532,2024/10/23 下午 9:26:36,https://drive.google.com/open?id=1Lg805a6lAiQ6RZPGjcOaasUtqlp7HOrC,H&M,短 short,上半身 Top,Shirt,,349
533,2024/10/23 下午 9:27:16,https://drive.google.com/open?id=1fPPQyzSHt2xwMwwD8pbQjI0BX1ukLZiR,H&M,長 long,上半身 Top,"外套 Jacket, 西裝 Suit",,1299
534,2024/10/23 下午 9:27:51,https://drive.google.com/open?id=1FkB7wvl8x0zM2xBbJZsFolGsdMrd-8Y0,H&M,長 long,洋裝 Dress,,,1799
535,2024/10/23 下午 9:28:35,https://drive.google.com/open?id=1i0W-fVaRCX0FaFcpHGBpZ4kG--iMHfdl,H&M,長 long,洋裝 Dress,,,1499
536,2024/10/23 下午 9:29:22,https://drive.google.com/open?id=1vWO5tIIKxwJSSuXlW7cJoQJC4IxeScs-,H&M,短 short,上半身 Top,Shirt,,649
537,2024/10/23 下午 9:30:25,https://drive.google.com/open?id=1XjJPJLOpne19ImpzGjSQOqkOj8B1wdzM,H&M,長 long,上半身 Top,Shirt,,599
538,2024/10/23 下午 9:30:57,https://drive.google.com/open?id=10zWYGW2qoW30Z4FPnhEp424f4uhwt8PH,H&M,短 short,上半身 Top,背心 Vest,,349
539,2024/10/23 下午 9:31:37,https://drive.google.com/open?id=1qJ4YKTrjDmRmSeRNen1m0XHGYXvhwMu8,H&M,長 long,上半身 Top,Shirt,,699
540,2024/10/23 下午 9:33:05,https://drive.google.com/open?id=1Q6ZKoA8Ba9F0IrWmQuJPeVcT2jgW3h1C,H&M,長 long,上半身 Top,Shirt,,699
541,2024/10/23 下午 9:34:03,https://drive.google.com/open?id=15HxPXxcHdWPcxle9wragvN5Liq6zWj8A,H&M,長 long,上半身 Top,Shirt,,699
542,2024/10/23 下午 9:34:38,https://drive.google.com/open?id=17tNi5ItP009fIod_tj0wzveRSXF618c-,H&M,長 long,下半身 Bottom,,西裝褲、裙 dress pants、skirt,999
543,2024/10/23 下午 9:35:16,https://drive.google.com/open?id=1laSklRSFufEyHDaTZzOlCoPd_p4ptGLB,H&M,短 short,上半身 Top,背心 Vest,,299
544,2024/10/23 下午 9:36:31,https://drive.google.com/open?id=1EOnVtChmvcIVwf4RBIC8R5fbGYBEUTCQ,H&M,短 short,洋裝 Dress,,,899
545,2024/10/23 下午 9:38:05,https://drive.google.com/open?id=1O33mC-K_e2pBD3QGoyCTyovjBEfAhAwR,H&M,短 short,洋裝 Dress,,,999
546,2024/10/23 下午 9:39:20,https://drive.google.com/open?id=1mG9Nk_SBHOIdgdaoyVEmfB0qdkhPa7G6,H&M,短 short,洋裝 Dress,,,999
547,2024/10/23 下午 9:40:01,https://drive.google.com/open?id=1bu6LCppu3hN3c5Es1lS1wvi1-sUHrzNo,H&M,短 short,上半身 Top,背心 Vest,,299
548,2024/10/23 下午 9:40:39,https://drive.google.com/open?id=1ifzp-xt9ftn_nUG5EuFYvccLBjI3p_Kh,H&M,長 long,上半身 Top,Shirt,,999
549,2024/10/23 下午 9:41:12,https://drive.google.com/open?id=1tOHq-1SAJqIDgnfosBlKi6eHhsC0-Joi,H&M,短 short,洋裝 Dress,,,1999
550,2024/10/23 下午 9:41:47,https://drive.google.com/open?id=1EE8EzMA_BfOPzivIfzJVHafaqWS6RFRm,H&M,長 long,下半身 Bottom,,牛仔褲/裙 jeans / demi skirt,999
551,2024/10/23 下午 9:42:37,https://drive.google.com/open?id=1IpqXXN8jMIj7k2RqIZqV4ZznykqVV8Ti,H&M,長 long,上半身 Top,Shirt,,799
552,2024/10/27 上午 12:35:57,https://drive.google.com/open?id=1d269VAzhn7-sUSwwtUcayIK2wHnS0Sa7,50 percent,長 long,上半身 Top,T-Shirt,,349
553,2024/10/27 上午 12:36:44,https://drive.google.com/open?id=1RuSOwoaqEdqOXoAOU1K-0ldGOeCCUARy,50 percent,長 long,上半身 Top,外套 Jacket,,1190
554,2024/10/27 上午 12:37:48,https://drive.google.com/open?id=1xC7fiikK0yU0arnNaqsO-czOLnqSqACt,50 percent,短 short,上半身 Top,T-Shirt,,299
555,2024/10/27 上午 12:38:34,https://drive.google.com/open?id=1bDXXTlLr18YyyNbCO1iHq8qPggwgqFTD,50 percent,長 long,上半身 Top,毛衣、針織衣 Sweater,,590
556,2024/10/27 上午 12:41:22,https://drive.google.com/open?id=1rf2LDrNnXBBdtLm2-VPDTBTxXIV5xRQC,50 percent,長 long,上半身 Top,Shirt,,449
557,2024/10/27 上午 12:42:28,https://drive.google.com/open?id=1rw-Oec38VL9p77chyifzYdufJ9D_oEF-,50 percent,短 short,上半身 Top,T-Shirt,,449
558,2024/10/27 上午 12:44:11,https://drive.google.com/open?id=1e_tXVepNCeajlkI1ZdXPpzGyx7ER6fjn,50 percent,短 short,上半身 Top,T-Shirt,,299
559,2024/10/27 上午 12:44:53,https://drive.google.com/open?id=1-FpeXfUvDKyNFO7qDuzqc7yk7tMoCsKm,50 percent,長 long,上半身 Top,T-Shirt,,399
560,2024/10/27 上午 12:46:37,https://drive.google.com/open?id=1YiWk4MqCu41cwwmEhF496Eh3gezJHIAq,50 percent,長 long,上半身 Top,T-Shirt,,490
561,2024/10/27 上午 12:47:22,https://drive.google.com/open?id=1TLZ86ZkjM9NEV0Y8cc-wADYywqMGivHs,50 percent,短 short,上半身 Top,T-Shirt,,299
562,2024/10/27 上午 12:48:04,https://drive.google.com/open?id=1Ijv3rjjX8y8k8ZcTi6pOCVqzeQ1eFRk0,50 percent,長 long,上半身 Top,連帽衣 Hoodie,,690
563,2024/10/27 上午 12:48:43,https://drive.google.com/open?id=1loQbZCVJZk-XPV6M5hb2wug90ONfUJS9,50 percent,短 short,上半身 Top,T-Shirt,,349
564,2024/10/27 上午 12:49:27,https://drive.google.com/open?id=1Eve1zx2bhFBnb4GeFmR5hVoqURC939VY,50 percent,短 short,上半身 Top,背心 Vest,,349
565,2024/10/27 上午 12:50:13,https://drive.google.com/open?id=15flZ82oLEbJVbqYAMzb03pIH1lnkGAwK,50 percent,長 long,上半身 Top,T-Shirt,,690
566,2024/10/27 上午 12:50:51,https://drive.google.com/open?id=1717z6SLB5c_QtYGXRJgH8-TxV0sb0XGh,50 percent,長 long,上半身 Top,外套 Jacket,,790
567,2024/10/27 上午 12:51:39,https://drive.google.com/open?id=1v-Hg1L8MxBc3mMz89ovBC-5qf2eQ5k9s,50 percent,長 long,上半身 Top,連帽衣 Hoodie,,799
568,2024/10/27 上午 12:52:21,https://drive.google.com/open?id=1WSD3bkuqlSawZwO_fPT0iw2I1VIcY4Zx,50 percent,短 short,上半身 Top,"背心 Vest, 毛衣、針織衣 Sweater",,549
569,2024/10/27 上午 12:53:36,https://drive.google.com/open?id=1lzHvFZMJ2qa86bLiEj8lKeyoLo0sqNxU,50 percent,長 long,上半身 Top,外套 Jacket,,1399
570,2024/10/27 上午 12:54:19,https://drive.google.com/open?id=13wZ5h6IEj6YsiDku3Cg-KMlRlNIveMpd,50 percent,長 long,上半身 Top,毛衣、針織衣 Sweater,,690
571,2024/10/27 上午 12:56:21,https://drive.google.com/open?id=1jyzFr6_-1hOVWBtKdJJwnwjbDfuYlhn2,50 percent,長 long,上半身 Top,毛衣、針織衣 Sweater,,499
572,2024/10/27 上午 12:57:28,https://drive.google.com/open?id=1hecOKJF45T3w6ncV8vlVaaxx06UOQHiS,50 percent,短 short,上半身 Top,背心 Vest,,299
573,2024/10/27 上午 12:58:13,https://drive.google.com/open?id=1pAThINjWF_niuhWiqCXS911vGdh3JMDg,50 percent,短 short,上半身 Top,T-Shirt,,390
574,2024/10/27 上午 12:58:52,https://drive.google.com/open?id=17rK8T2uPw93D4uXaMMIz8QTcYAzc1Kic,50 percent,長 long,上半身 Top,外套 Jacket,,1400
575,2024/10/27 上午 12:59:25,https://drive.google.com/open?id=1LUuBkvYcenBTAgqkggUupd_1rGmu-KOw,50 percent,長 long,上半身 Top,T-Shirt,,490
576,2024/10/27 上午 12:59:59,https://drive.google.com/open?id=1PFTlgOqoBhPtodbMDAiNdVMYhYKdiXJ7,50 percent,短 short,上半身 Top,T-Shirt,,349
577,2024/10/27 上午 1:40:13,https://drive.google.com/open?id=1wVrIkO8kBQsUC1D8SXJJeJ1XjVE6htV1,50 percent,長 long,上半身 Top,"外套 Jacket, 連帽衣 Hoodie",,1499
578,2024/10/27 上午 1:42:01,https://drive.google.com/open?id=1byPTnUbonjAPqzSPajo5bii1PrP-31GQ,50 percent,短 short,上半身 Top,"背心 Vest, 毛衣、針織衣 Sweater",,449
579,2024/10/27 上午 1:42:48,https://drive.google.com/open?id=1moKBze8rm5nH4zCofiJZcMt4bABy6tKd,50 percent,短 short,上半身 Top,T-Shirt,,299
580,2024/10/27 上午 1:44:50,https://drive.google.com/open?id=1-VJkTMBkWkiCmAEMTXf7e6aFlAc4eZHJ,50 percent,長 long,上半身 Top,外套 Jacket,,799
581,2024/10/27 上午 1:46:01,https://drive.google.com/open?id=1gLeqCfaXgv864rePvuXftbEvYkjRqhvg,50 percent,長 long,上半身 Top,外套 Jacket,,1399
582,2024/10/27 上午 1:46:53,https://drive.google.com/open?id=1Q7UK-yWPKJLZ_903qJNuVbebMalVWR09,50 percent,長 long,上半身 Top,T-Shirt,,490
583,2024/10/27 上午 1:50:10,https://drive.google.com/open?id=1UK2JGaJVvNkgzSqHWPs9V2Zsl9y9Vanv,50 percent,短 short,上半身 Top,T-Shirt,,449
584,2024/10/27 上午 1:51:38,https://drive.google.com/open?id=1Hp5IpVDVMpoHoJw5gbjyan56wdPhXVOd,50 percent,短 short,上半身 Top,T-Shirt,,299
585,2024/10/27 上午 2:17:40,https://drive.google.com/open?id=1LHwkGv6KdIxwXuXOwcoXY984rKrY1RiQ,50 percent,長 long,上半身 Top,T-Shirt,,290
586,2024/10/27 上午 2:18:19,https://drive.google.com/open?id=1yEkJ_8WVK8TLepU0I2aXgIDBaPgDFx4i,50 percent,長 long,上半身 Top,毛衣、針織衣 Sweater,,590
587,2024/10/27 上午 2:19:10,https://drive.google.com/open?id=1GNUWDQ2P4H2EW4PYN1Bvhh7mNj41eqLQ,50 percent,短 short,上半身 Top,背心 Vest,,1190
588,2024/10/27 上午 2:19:52,https://drive.google.com/open?id=1CBXLDLUUKvD4aAezYBCX190VtW2xrQGO,50 percent,長 long,上半身 Top,"外套 Jacket, 連帽衣 Hoodie",,700
589,2024/10/27 上午 2:20:32,https://drive.google.com/open?id=1U1ZMSrrRZyJm-3UNoKQP8ukNHKuBBxJU,50 percent,長 long,上半身 Top,"外套 Jacket, 毛衣、針織衣 Sweater",,699
590,2024/10/27 上午 2:21:18,https://drive.google.com/open?id=14oww-kNDa3GgjnItxjxvNQSIzHKyQ1JU,50 percent,短 short,上半身 Top,"背心 Vest, 毛衣、針織衣 Sweater",,449
591,2024/10/27 上午 2:24:37,https://drive.google.com/open?id=1ahNZbA4mzd3cKTxdBdAbDPaSISFdvfc9,50 percent,長 long,上半身 Top,T-Shirt,,299
592,2024/10/27 上午 2:25:27,https://drive.google.com/open?id=1zbMAaNMNA02HLI4oTQcTlnkoJ-UeX6rZ,50 percent,短 short,上半身 Top,背心 Vest,,499
593,2024/10/27 上午 2:26:29,https://drive.google.com/open?id=1gsS6TVmXLMmgf3Ufi7mz6fR7Djj7SfNj,50 percent,短 short,上半身 Top,T-Shirt,,349
594,2024/10/27 上午 2:27:09,https://drive.google.com/open?id=1eJQZUEsm8JSsu6vCjEbB6Akiet75MrBU,50 percent,長 long,上半身 Top,T-Shirt,,590
595,2024/10/27 上午 2:27:41,https://drive.google.com/open?id=1oR-S7qzoxfkpN7VvJenx6H-1K02qRxMX,50 percent,短 short,上半身 Top,T-Shirt,,349
596,2024/10/27 上午 2:29:23,https://drive.google.com/open?id=1dpguPcCDlL74BfUA8uDNuy9-bYxj9mA6,50 percent,長 long,上半身 Top,"外套 Jacket, 連帽衣 Hoodie",,499
597,2024/10/27 上午 2:30:03,https://drive.google.com/open?id=1IloZZ9Q9pcYE5qgydAz8JztXeUR_2hNb,50 percent,短 short,上半身 Top,T-Shirt,,349
598,2024/10/27 上午 2:30:49,https://drive.google.com/open?id=1b2opeNWnld2mcvkPz0HN4aEMseSaXyNY,50 percent,短 short,上半身 Top,T-Shirt,,349
599,2024/10/27 上午 2:33:09,https://drive.google.com/open?id=1vyDgHKVyWIsUxarL17P-6yUrlZyuwLqL,50 percent,短 short,上半身 Top,T-Shirt,,499
600,2024/10/27 上午 2:34:22,https://drive.google.com/open?id=1vSJYTrvTPxXSBtdevvNS7mNWHGayVl_v,50 percent,短 short,上半身 Top,T-Shirt,,349
601,2024/10/27 上午 2:41:43,https://drive.google.com/open?id=112eS0DiCtYiYZ0Flnin4On6e88JRZO5x,50 percent,長 long,上半身 Top,外套 Jacket,,1399
602,2024/10/27 上午 2:43:12,https://drive.google.com/open?id=1uLswZF7-z9uWaJgo9e3m85EGUo0kBJlf,50 percent,長 long,上半身 Top,外套 Jacket,,799
603,2024/10/27 上午 2:44:32,https://drive.google.com/open?id=1Q8gd4WVTfc4w7aPz0STiSu_vtOHQcf9E,50 percent,短 short,上半身 Top,T-Shirt,,249
604,2024/10/27 上午 2:45:15,https://drive.google.com/open?id=1MP8FOKPPJOACT99sMcf1h9dJ9EjhVaRY,50 percent,長 long,上半身 Top,毛衣、針織衣 Sweater,,399
605,2024/10/27 上午 2:46:10,https://drive.google.com/open?id=1RRFd_-j34hiNlT4wjkLtRlItKtd3ytBN,50 percent,長 long,上半身 Top,外套 Jacket,,1399
606,2024/10/27 上午 2:47:16,https://drive.google.com/open?id=1ANaDz_GOQ-4bCeOdN23WeecrAUC8q0CO,50 percent,長 long,上半身 Top,T-Shirt,,399
607,2024/10/27 上午 2:49:18,https://drive.google.com/open?id=11wzTsEqyOnPJ8EjMbdHziF1Tfywd-568,50 percent,短 short,上半身 Top,T-Shirt,,300
608,2024/10/27 上午 2:50:12,https://drive.google.com/open?id=17hzXfI78YQQNq5L-jOa9EB84dySkntLl,50 percent,長 long,上半身 Top,Shirt,,399
609,2024/10/27 上午 2:51:01,https://drive.google.com/open?id=16Z7oKaX5SxIbPEcymDh0oVWm08ty1SX2,50 percent,長 long,上半身 Top,T-Shirt,,290
610,2024/10/27 上午 2:52:00,https://drive.google.com/open?id=1DEYWxHLn5wmJ4xCH5i7-5i6VhS3_pQqE,50 percent,長 long,上半身 Top,T-Shirt,,399
611,2024/10/27 上午 2:52:42,https://drive.google.com/open?id=1M7SOLJcw1wCuu9xsVXmnhJSeNFdgZP2o,50 percent,長 long,上半身 Top,Shirt,,349
612,2024/10/27 上午 2:53:37,https://drive.google.com/open?id=1A18j1URq4PLgJ4J29WsRhhshHP4l6XAU,50 percent,短 short,上半身 Top,背心 Vest,,349
613,2024/10/27 上午 2:54:25,https://drive.google.com/open?id=1H0XPTd4sbhxsfHMjCquMfmKUYP8vJ6fX,50 percent,長 long,上半身 Top,T-Shirt,,399
614,2024/10/27 上午 2:55:05,https://drive.google.com/open?id=1rXOIX4wp0x8S4HKkWSjQJSoLkiOYhKBN,50 percent,長 long,上半身 Top,外套 Jacket,,699
615,2024/10/27 上午 3:02:08,https://drive.google.com/open?id=1TH9tUirLi2Jn1IKQlbpQevam3alzxu3d,50 percent,長 long,上半身 Top,T-Shirt,,590
616,2024/10/27 上午 3:03:11,https://drive.google.com/open?id=1y3yCb_ZrhyniQaN-xFkgoU3FpVRqj5t_,50 percent,長 long,上半身 Top,T-Shirt,,490
617,2024/10/27 上午 3:04:12,https://drive.google.com/open?id=1VVmEOKiY_RUNLLzAxznSu6D0eviDiX-o,50 percent,短 short,上半身 Top,背心 Vest,,299
618,2024/10/27 上午 3:05:02,https://drive.google.com/open?id=1LyCB6uKtsNBaa_Rj7UYstA8o3-nkhkWv,50 percent,長 long,上半身 Top,"外套 Jacket, 毛衣、針織衣 Sweater",,790
619,2024/10/27 上午 3:06:41,https://drive.google.com/open?id=1ureL1wh-mT1BrTsqqM5ns8wRt-RAHRFs,50 percent,長 long,上半身 Top,外套 Jacket,,790
620,2024/10/27 上午 3:11:52,https://drive.google.com/open?id=11xKO6sZtcYN-_naWvA1Ag6IPzZb_sARR,50 percent,短 short,上半身 Top,T-Shirt,,499
